Time Stamp,Time Zone,SENY 10 Min Spinning Reserve ($/MWHr),SENY 10 Min Non-Synchronous Reserve ($/MWHr),SENY 30 Min Operating Reserve ($/MWHr),East 10 Min Spinning Reserve ($/MWHr),East 10 Min Non-Synchronous Reserve ($/MWHr),East 30 Min Operating Reserve ($/MWHr),East Regulation ($/MWHr),West 10 Min Spinning Reserve ($/MWHr),West 10 Min Non-Synchronous Reserve ($/MWHr),West 30 Min Operating Reserve ($/MWHr),West Regulation ($/MWHr)
01/24/2016 00:00,EST,5,5,5,5,5,5,7.6,5,5,5,7.6
01/24/2016 01:00,EST,3.34,3.34,3.34,3.34,3.34,3.34,7,3.34,3.34,3.34,7
01/24/2016 02:00,EST,3.34,3.34,3.34,3.34,3.34,3.34,7,3.34,3.34,3.34,7
01/24/2016 03:00,EST,3.34,3.34,3.34,3.34,3.34,3.34,5,3.34,3.34,3.34,5
01/24/2016 04:00,EST,3.34,3.34,3.34,3.34,3.34,3.34,7,3.34,3.34,3.34,7
01/24/2016 05:00,EST,3.34,3.34,3.34,3.34,3.34,3.34,9.95,3.34,3.34,3.34,9.95
01/24/2016 06:00,EST,6.16,6.16,6.16,6.16,6.16,6.16,7.75,6.16,6.16,6.16,7.75
01/24/2016 07:00,EST,9,9,9,9,9,9,12.39,9,9,9,12.39
01/24/2016 08:00,EST,8,8,8,8,8,8,10.5,8,8,8,10.5
01/24/2016 09:00,EST,8,8,8,8,8,8,7.75,8,8,8,7.75
01/24/2016 10:00,EST,8,8,8,8,8,8,7,8,8,8,7
01/24/2016 11:00,EST,8,8,8,8,8,8,7,8,8,8,7
01/24/2016 12:00,EST,8,8,8,8,8,8,7,8,8,8,7
01/24/2016 13:00,EST,8,8,8,8,8,8,7,8,8,8,7
01/24/2016 14:00,EST,8,8,8,8,8,8,7,8,8,8,7
01/24/2016 15:00,EST,8,8,8,8,8,8,7.75,8,8,8,7.75
01/24/2016 16:00,EST,7.8,7.8,7.8,7.8,7.8,7.8,7.75,7.8,7.8,7.8,7.75
01/24/2016 17:00,EST,8.44,8.38,8.38,8.44,8.38,8.38,10.88,8.38,8.38,8.38,10.88
01/24/2016 18:00,EST,9,9,9,9,9,9,8.75,9,9,9,8.75
01/24/2016 19:00,EST,8,8,8,8,8,8,7.75,8,8,8,7.75
01/24/2016 20:00,EST,8,8,8,8,8,8,12,8,8,8,12
01/24/2016 21:00,EST,8,8,8,8,8,8,7.75,8,8,8,7.75
01/24/2016 22:00,EST,8,8,8,8,8,8,7.75,8,8,8,7.75
01/24/2016 23:00,EST,5.5,5.5,5.5,5.5,5.5,5.5,7.75,5.5,5.5,5.5,7.75
